index,class_code,description,level,level_2,level_3,level_4,level_5
770,H03B,"GENERATION OF OSCILLATIONS, DIRECTLY OR BY FREQUENCY-CHANGING, BY CIRCUITS EMPLOYING ACTIVE ELEMENTS WHICH OPERATE IN A NON-SWITCHING MANNER",5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,"GENERATION OF OSCILLATIONS, DIRECTLY OR BY FREQUENCY-CHANGING, BY CIRCUITS EMPLOYING ACTIVE ELEMENTS WHICH OPERATE IN A NON-SWITCHING MANNER"
771,H03C,MODULATION ,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,MODULATION 
772,H03D,DEMODULATION OR TRANSFERENCE OF MODULATION FROM ONE CARRIER TO ANOTHER ,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,DEMODULATION OR TRANSFERENCE OF MODULATION FROM ONE CARRIER TO ANOTHER 
773,H03F,AMPLIFIERS ,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,AMPLIFIERS 
774,H03G,CONTROL OF AMPLIFICATION ,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,CONTROL OF AMPLIFICATION 
775,H03H,"IMPEDANCE NETWORKS, e.g. RESONANT CIRCUITS",5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,"IMPEDANCE NETWORKS, e.g. RESONANT CIRCUITS"
776,H03J,TUNING RESONANT CIRCUITS,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,TUNING RESONANT CIRCUITS
777,H03K,PULSE TECHNIQUE ,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,PULSE TECHNIQUE 
778,H03L,"AUTOMATIC CONTROL, STARTING, SYNCHRONISATION, OR STABILISATION OF GENERATORS OF ELECTRONIC OSCILLATIONS OR PULSES ",5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,"AUTOMATIC CONTROL, STARTING, SYNCHRONISATION, OR STABILISATION OF GENERATORS OF ELECTRONIC OSCILLATIONS OR PULSES "
779,H03M,CODING,5,ELECTRICITY,Nucleonics,BASIC ELECTRONIC CIRCUITRY,CODING
781,H04B,TRANSMISSION ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,TRANSMISSION 
782,H04H,BROADCAST COMMUNICATION ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,BROADCAST COMMUNICATION 
783,H04J,MULTIPLEX COMMUNICATION ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,MULTIPLEX COMMUNICATION 
784,H04K,SECRET COMMUNICATION,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,SECRET COMMUNICATION
785,H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION ",5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION "
786,H04M,TELEPHONIC COMMUNICATION ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,TELEPHONIC COMMUNICATION 
787,H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION ",5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,"PICTORIAL COMMUNICATION, e.g. TELEVISION "
788,H04Q,SELECTING ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,SELECTING 
789,H04R,"LOUDSPEAKERS, MICROPHONES, GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS",5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,"LOUDSPEAKERS, MICROPHONES, GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS"
790,H04S,STEREOPHONIC SYSTEMS ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,STEREOPHONIC SYSTEMS 
791,H04T,INDEXING SCHEME RELATING TO STANDARDS FOR ELECTRIC COMMUNICATION TECHNIQUE ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,INDEXING SCHEME RELATING TO STANDARDS FOR ELECTRIC COMMUNICATION TECHNIQUE 
792,H04W,WIRELESS COMMUNICATIONS NETWORKS ,5,ELECTRICITY,Nucleonics,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS 
794,H05B,ELECTRIC HEATING,5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,ELECTRIC HEATING
795,H05C,"ELECTRIC CIRCUITS OR APPARATUS SPECIALLY DESIGNED FOR USE IN EQUIPMENT FOR KILLING, STUNNING, OR GUIDING LIVING BEINGS ",5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,"ELECTRIC CIRCUITS OR APPARATUS SPECIALLY DESIGNED FOR USE IN EQUIPMENT FOR KILLING, STUNNING, OR GUIDING LIVING BEINGS "
796,H05F,STATIC ELECTRICITY,5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,STATIC ELECTRICITY
797,H05G,X-RAY TECHNIQUE ,5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,X-RAY TECHNIQUE 
798,H05H,PLASMA TECHNIQUE ,5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,PLASMA TECHNIQUE 
799,H05K,PRINTED CIRCUITS,5,ELECTRICITY,Nucleonics,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,PRINTED CIRCUITS
802,Y02B,"INDEXING SCHEME RELATING TO CLIMATE CHANGE MITIGATION TECHNOLOGIES RELATED TO BUILDINGS, e.g. INCLUDING HOUSING AND APPLIANCES OR RELATED END-USER APPLICATIONS",5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE,"INDEXING SCHEME RELATING TO CLIMATE CHANGE MITIGATION TECHNOLOGIES RELATED TO BUILDINGS, e.g. INCLUDING HOUSING AND APPLIANCES OR RELATED END-USER APPLICATIONS"
803,Y02C,"CAPTURE, STORAGE, SEQUESTRATION OR DISPOSAL OF GREENHOUSE GASES [GHG]",5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE,"CAPTURE, STORAGE, SEQUESTRATION OR DISPOSAL OF GREENHOUSE GASES [GHG]"
804,Y02E,"REDUCTION OF GREENHOUSE GASES [GHG] EMISSION, RELATED TO ENERGY GENERATION, TRANSMISSION OR DISTRIBUTION",5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE,"REDUCTION OF GREENHOUSE GASES [GHG] EMISSION, RELATED TO ENERGY GENERATION, TRANSMISSION OR DISTRIBUTION"
805,Y02T,CLIMATE CHANGE MITIGATION TECHNOLOGIES RELATED TO TRANSPORTATION,5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE,CLIMATE CHANGE MITIGATION TECHNOLOGIES RELATED TO TRANSPORTATION
807,Y04S,"SYSTEMS INTEGRATING TECHNOLOGIES RELATED TO POWER NETWORK OPERATION, COMMUNICATION OR INFORMATION TECHNOLOGIES FOR IMPROVING THE ELECTRICAL POWER GENERATION, TRANSMISSION, DISTRIBUTION, MANAGEMENT OR USAGE, i.e. SMART GRIDS",5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,INFORMATION OR COMMUNICATION TECHNOLOGIES HAVING AN IMPACT ON OTHER TECHNOLOGY AREAS,"SYSTEMS INTEGRATING TECHNOLOGIES RELATED TO POWER NETWORK OPERATION, COMMUNICATION OR INFORMATION TECHNOLOGIES FOR IMPROVING THE ELECTRICAL POWER GENERATION, TRANSMISSION, DISTRIBUTION, MANAGEMENT OR USAGE, i.e. SMART GRIDS"
809,Y10S,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS,5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNICAL SUBJECTS COVERED BY FORMER USPC,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS
810,Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,5,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS,Nucleonics,TECHNICAL SUBJECTS COVERED BY FORMER USPC,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION
